name,value
granulometry method,sigmoide
family,Demco4H
n,2.0738019761543893
k,14.716976486233714
R2,0.9756698283786043
Q,0.001910203514869299
Re,40535.7775603949
d50,11.229805609092601
E't,0.6439037688374474
Et,0.6532971795743238
Cvu,0.2001030447319462
n° hydrocyclon,7.270894844855943
